Lake,Year,Date,Month,LAB ID,Depth,Conductivity,TDS,Hardness,pH,TSS,IB,Turbidity,Alkalinity,Bicarbonate,Carbonate,Hydroxide,Chloride,Fluoride,Sulphate,AmmoniaN,NitrateN,NitriteN,Orthophosphate ,Phosphorus,TKN,Total Nitrogen,Aluminum,Antimony ,Arsenic,Barium ,Beryllium,Bismuth,Boron ,Cadmium,Calcium,Cesium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Rubidium,Selenium,Silicon,Silver,Sodium,Strontium,Sulfur,Tellurium,Thallium,Thorium,Tin,Titanium,Tungsten,Uranium,Vanadium,Zinc,Zirconium,TOC,Radium.226,Notes,Nitrate and Nitrite (as N),Anion Sum,Cation Sum,,,,,
Kodiak,1994,2-Jul-94,July,,3,17.6,13,5.12,5.66,5,,2.97,4.8,4.8,<1.0,,1.2,,<1.0,<0.005,<0.005,0.003,0.009,0.013,,,0.184,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,1.03,,0.001,<0.001,0.0007,0.11,0.0005,,0.77,<0.005,<0.00005,<0.001,0.003,,,<0.0005,,0.00002,,,,,,,,,,0.00007,<0.005,0.003,,,,,,,,,,,,
Kodiak,1994,2-Jul-94,July,,5,17,12,4.74,5.62,5,,1.12,4.7,4.7,<1.0,,1.1,,1.2,<0.005,<0.005,0.003,0.006,0.014,,,0.128,<0.0001,0.0002,<0.010,<0.003,,<0.050,<0.0001,0.817,,0.001,<0.001,0.0011,0.11,0.0014,,0.666,<0.005,<0.00005,<0.001,0.0028,,,<0.0005,,0.00002,,,,,,,,,,0.00006,<0.005,0.002,,,,,,,,,,,,
Kodiak,1994,2-Jul-94,July,,8,16.9,12,4.85,5.53,3,,2.62,4.5,4.5,<1.0,,1.2,,<1.0,<0.005,<0.005,0.003,0.01,0.012,,,0.182,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,1.02,,0.001,<0.001,0.001,0.1,<0.0005,,0.749,<0.005,<0.00005,<0.001,0.0028,,,<0.0005,,0.00003,,,,,,,,,,0.00008,<0.005,0.004,,,,,,,,,,,,
Kodiak,1994,2-Jul-94,July,,11,16.8,12,4.31,5.53,11,,4.34,4.6,4.6,<1.0,,1.4,,<1.0,<0.005,<0.005,0.003,0.011,0.025,,,0.302,<0.0001,0.0002,<0.010,<0.003,,<0.050,<0.0001,0.947,,0.001,<0.001,0.0013,0.41,0.0005,,0.819,<0.005,<0.00005,<0.001,0.0033,,,<0.0005,,0.00001,,,,,,,,,,0.0001,<0.005,0.004,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,0,17.7,11,6.13,6.55,3,,0.82,4.7,4.6,<1.0,,0.8,,1.5,0.008,<0.005,0.001,0.005,0.008,,,0.027,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,1.14,,<0.001,<0.001,0.001,0.03,0.002,,0.801,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,0,17.4,11,6.09,6.45,<1,,0.79,4.9,4.9,<1.0,,0.9,,1.1,0.008,<0.005,0.001,0.004,0.008,,,0.025,<0.0001,<0.0001,<0.010,<0.003,,<0.050,0.0001,1.15,,<0.001,<0.001,0.0015,0.04,0.003,,0.804,<0.005,<0.00005,0.001,0.002,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,0.003,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,0,17,11,6.1,6.59,<1,,0.82,5,5,<1.0,,0.8,,1.5,0.006,<0.005,<0.001,0.004,0.008,,,0.025,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,1.15,,<0.001,<0.001,0.001,0.04,0.002,,0.816,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,<0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,3,17.2,12,6.22,6.45,<1,,0.74,5.4,5.4,<1.0,,0.9,,1.8,0.007,<0.005,<0.001,0.004,0.007,,,0.023,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,1.14,,<0.001,<0.001,0.001,0.03,0.002,,0.818,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,0.00001,,,,,,,,,,0.00003,<0.005,<0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,3,17,12,6.11,6.43,<1,,0.71,4.9,4.9,<1.0,,1.2,,1.7,0.007,<0.005,<0.001,0.004,0.01,,,0.026,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,1.14,,<0.001,<0.001,0.001,0.03,0.002,,0.815,<0.005,0.00005,0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,3,17,11,6.07,6.45,<1,,0.65,5.1,5.1,<1.0,,0.7,,1.2,0.008,<0.005,<0.001,0.005,0.008,,,0.026,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,1.13,,<0.001,<0.001,0.001,0.03,0.002,,0.801,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,<0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,5,17,11,6.05,6.36,<1,,0.62,5.2,5.2,<1.0,,0.6,,1.6,0.007,<0.005,0.001,0.005,0.009,,,0.025,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,1.15,,<0.001,<0.001,0.001,0.03,<0.001,,0.809,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,<0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,5,17,11,6.03,6.6,1,,0.63,5.1,5.1,<1.0,,0.9,,2,0.007,<0.005,0.001,0.005,0.008,,,0.029,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,1.14,,<0.001,<0.001,0.001,0.03,<0.001,,0.81,<0.005,<0.00005,<0.001,0.002,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,5,17,11,6.37,6.44,2,,0.68,4.8,4.8,<1.0,,0.8,,1.7,0.008,<0.005,<0.001,0.006,0.015,,,0.027,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,1.19,,<0.001,<0.001,0.001,0.04,<0.001,,0.825,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,<0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,8,17.1,12,6.48,6.59,<1,,0.65,5,5,<1.0,,0.9,,1.5,0.008,<0.005,0.001,0.004,0.007,,,0.025,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,1.22,,<0.001,<0.001,0.0005,0.04,<0.001,,0.844,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,<0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,8,17,11,6.27,6.47,<1,,0.76,5,5,<1.0,,0.6,,1.9,0.007,<0.005,0.001,0.005,0.007,,,0.033,<0.0001,0.0001,<0.010,<0.003,,<0.050,0.0002,1.23,,<0.001,<0.001,0.001,0.04,0.004,,0.857,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,0.00001,,,,,,,,,,0.00005,<0.005,0.002,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,8,17,10,6.19,6.52,<1,,0.63,5.3,5.3,<1.0,,0.8,,1.2,0.007,<0.005,0.001,0.005,0.008,,,0.029,<0.0001,0.0002,<0.010,<0.003,,<0.050,<0.0001,1.16,,<0.001,<0.001,0.001,0.04,0.001,,0.819,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,0.002,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,11,16.9,11,6.16,6.5,14,,0.26,5.5,5.5,<1.0,,1,,1.1,0.007,<0.005,0.001,0.005,0.027,,,0.027,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,1.13,,<0.001,<0.001,0.001,0.04,<0.001,,0.822,<0.005,<0.00005,0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,<0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,11,16.9,11,6.15,6.52,13,,3.12,4.8,4.8,<1.0,,0.9,,2.1,0.007,<0.005,0.001,0.005,0.026,,,0.028,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,1.13,,<0.001,<0.001,0.001,0.04,<0.001,,0.825,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,0.001,,,,,,,,,,,,
Kodiak,1994,19-Aug-94,August,,11,17,10,6.17,6.4,17,,5.34,4.6,4.6,<1.0,,1,,1.2,0.007,<0.005,0.001,0.005,0.034,,,0.026,<0.0001,0.0002,<0.010,<0.003,,<0.050,<0.0001,1.15,,<0.001,<0.001,0.001,0.04,<0.001,,0.821,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,0.00002,,,,,,,,,,0.00004,<0.005,<0.001,,,,,,,,,,,,
Leslie,1994,20-Aug-94,August,,0,12.8,8,4.36,6.52,2,,0.56,4.6,4.6,<1.0,,<0.5,,1.2,0.007,0.036,0.002,0.002,0.008,,,0.018,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.781,,<0.001,<0.001,0.0005,0.03,0.001,,0.597,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,<0.001,,,,,,,,,,,,
Leslie,1994,21-Aug-94,August,,2,12.3,8,4.41,6.41,1,,0.43,4.5,4.5,<1.0,,<0.5,,1.5,0.009,<0.005,<0.001,0.005,0.006,,,0.016,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,0.781,,<0.001,<0.001,0.0005,0.03,0.004,,0.604,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,0.00001,,,,,,,,,,0.00002,<0.005,0.002,,,,,,,,,,,,
Leslie,1994,21-Aug-94,August,,4,12.5,8,4.37,6.39,1,,0.48,5,5,<1.0,,<0.5,,1.3,0.007,<0.005,<0.001,0.004,0.008,,,0.017,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.777,,<0.001,<0.001,0.0005,0.03,<0.001,,0.591,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,<0.001,,,,,,,,,,,,
Leslie,1994,21-Aug-94,August,,6,12.4,8,4.33,6.51,1,,0.45,4.7,4.7,<1.0,,<0.5,,1.2,0.008,0.008,0.002,0.002,0.005,,,0.022,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.773,,<0.001,<0.001,0.0005,0.03,<0.001,,0.597,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,<0.001,,,,,,,,,,,,
Leslie,1994,21-Aug-94,August,,8,12.3,8,4.34,6.45,3,,0.48,4.5,4.6,<1.0,,<0.5,,1,0.01,<0.005,0.001,0.003,0.005,,,0.014,<0.0001,0.0001,<0.010,<0.003,,<0.050,<0.0001,0.773,,<0.001,<0.001,0.0005,0.03,<0.001,,0.593,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,<0.001,,,,,,,,,,,,
Moose,1994,6-Jul-94,July,,1,12,8,3.45,6.54,<1,,0.3,4.6,4.6,<1.0,,0.6,,<1.0,0.005,<0.005,0.001,0.002,0.004,,,0.046,<0.0001,<0.0001,<0.010,<0.003,,<0.050,0.0002,1.23,,<0.001,<0.001,0.0012,0.04,0.001,,0.568,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,0.024,,,,,,,,,,,,
Moose,1994,6-Jul-94,July,,3,11.8,8,2.38,6.47,<1,,0.29,4.3,4.3,<1.0,,<0.5,,<1.0,<0.005,<0.005,0.002,0.003,0.004,,,0.016,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.522,,<0.001,<0.001,<0.0005,0.02,0.007,,0.356,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00002,<0.005,<0.001,,,,,,,,,,,,
Moose,1994,6-Jul-94,July,,5,11.9,8,2.61,6.55,<1,,0.3,4.1,4.1,<1.0,,0.5,,<1.0,<0.005,<0.005,0.001,0.003,0.005,,,0.02,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.496,,<0.001,<0.001,<0.0005,0.02,0.001,,0.333,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00002,<0.005,<0.001,,,,,,,,,,,,
Moose,1994,6-Jul-94,July,,7,11.9,8,3.14,6.52,<1,,0.31,4.2,4.2,<1.0,,<0.5,,1,0.005,<0.005,0.002,0.003,0.004,,,0.02,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.587,,<0.001,<0.001,<0.0005,0.02,0.001,,0.415,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,0.00002,,,,,,,,,,0.00002,<0.005,<0.001,,,,,,,,,,,,
