Stream,Year,Date,Month,Lab ID,Conductivity,TDS,Hardness,pH,TSS,IB,Turbidity,Alkalinity,Bicarbonate,Carbonate,Hydroxide,Chloride,Fluoride,Sulphate,AmmoniaN,NitrateN,NitriteN,Orthophosphate ,Phosphorus,TKN,Aluminum,Antimony ,Arsenic,Barium ,Beryllium,Bismuth,Boron ,Cadmium,Calcium,Cesium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Rubidium,Selenium,Silicon,Silver,Sodium,Strontium,Sulfur,Tellurium,Thallium,Thorium,Tin,Titanium,Tungsten,Uranium,Vanadium,Zinc,Zirconium,TOC,Notes
Counts Outflow,2010,7-Jun-10,June,L901004-7,13.2,21.3,5.22,5.69,<3.0,45.8,0.93,3.6,3.6,<2.0,<2.0,<0.50,,<0.50,<0.0050,<0.0050,<0.0010,<0.0010,0.0209,0.6,0.251,<0.00010,0.000495,0.00431,<0.00020,,0.0072,0.000012,0.938,,0.00087,0.00097,0.00259,0.37,<0.000050,,0.698,0.0913,<0.000020,<0.000050,0.00207,0.861,,<0.00020,0.695,<0.00010,0.432,0.00573,,,,,,,,0.000173,0.00037,0.0028,,15.5,
Counts Outflow,2010,7-Jun-10,June,L901004-8,13.4,20.2,4.96,5.68,<3.0,53.1,0.64,2.8,2.8,<2.0,<2.0,<0.50,,<0.50,0.0328,<0.0050,<0.0010,<0.0010,0.0197,0.63,0.238,<0.00010,0.000476,0.00414,<0.00020,,0.0076,<0.000010,0.882,,0.00083,0.00098,0.00245,0.366,<0.000050,,0.669,0.0893,<0.000020,<0.000050,0.002,0.827,,<0.00020,0.691,<0.00010,0.415,0.00552,,,,,,,,0.000171,0.00035,0.0026,,14.9,
Cujo Outflow,2010,7-Jun-10,June,L901004-15,71.2,44.6,23.2,7.22,<3.0,4,0.59,13.3,13.3,<2.0,<2.0,0.81,,15.3,0.0159,0.022,<0.0010,<0.0010,0.0098,0.358,0.0682,<0.00010,0.000426,0.00873,<0.00020,,0.0098,<0.000010,3.59,,0.00039,0.00045,0.00112,0.132,<0.000050,,3.47,0.0613,<0.000020,0.000378,0.00163,2.97,,<0.00020,0.299,<0.00010,2.44,0.0297,,,,,,,,0.000086,<0.00020,0.0012,,7.55,
Cujo Outflow,2010,7-Jun-10,June,L901004-16,71.6,44.5,23.2,7.24,<3.0,4,0.6,13.3,13.3,<2.0,<2.0,0.81,,15.4,0.019,0.0229,<0.0010,<0.0010,0.0099,0.347,0.0692,<0.00010,0.000416,0.00891,<0.00020,,0.0103,<0.000010,3.55,,0.00044,0.00045,0.00163,0.137,<0.000050,,3.49,0.0613,<0.000020,0.000389,0.00162,2.96,,<0.00020,0.308,<0.00010,2.44,0.0298,,,,,,,,0.000085,<0.00020,0.0014,,7.48,
Kodiak-Little,2010,7-Jun-10,June,L901004-2,16,13.4,5.49,6.2,<3.0,24.3,1.34,4,4,<2.0,<2.0,<0.50,,1.37,0.0316,<0.0050,<0.0010,0.0012,0.0144,0.32,0.147,<0.00010,0.00022,0.00798,<0.00020,,0.0079,<0.000010,1.01,,0.00074,0.00044,0.00185,0.173,<0.000050,,0.721,0.0199,<0.000020,0.000057,0.00305,0.927,,<0.00020,0.5,<0.00010,0.457,0.00881,,,,,,,,0.000105,0.00025,0.0025,,6.11,
Kodiak-Little,2010,7-Jun-10,June,L901004-5,15.9,13.7,5.69,6.21,<3.0,25.7,1.42,4.1,4.1,<2.0,<2.0,<0.50,,1.33,0.0305,<0.0050,<0.0010,0.0015,0.0149,0.32,0.151,<0.00010,0.000175,0.00791,<0.00020,,0.0086,<0.000010,1.06,,0.00076,0.00045,0.00204,0.169,0.000081,,0.738,0.0205,<0.000020,0.000197,0.00299,0.975,,<0.00020,0.478,<0.00010,0.479,0.009,,,,,,,,0.000101,0.00028,0.0023,,6.29,
Leslie-Moose,2010,7-Jun-10,June,L901004-19,187,99.8,38.2,7.17,<3.0,0.3,0.69,12,12,<2.0,<2.0,26.5,,25.3,0.0345,0.714,0.001,<0.0010,0.0078,0.235,0.0677,0.00032,0.00016,0.0285,<0.00020,,0.0128,0.00001,7.96,,0.00044,0.00011,0.00088,0.062,<0.000050,,4.45,0.0146,<0.000020,0.0148,0.00232,5.77,,<0.0010,0.25,<0.00010,15,0.143,,,,,,,,0.000116,<0.00020,<0.0010,,4.32,
Leslie-Moose,2010,7-Jun-10,June,L901004-20,187,102,40.3,7.2,<3.0,3.3,0.46,11.8,11.8,<2.0,<2.0,26.5,,25.4,0.0348,0.714,0.0013,<0.0010,0.0087,0.228,0.0708,0.00035,0.00017,0.0297,<0.00020,,0.0131,<0.000010,8.46,,0.00044,0.00012,<0.00080,0.067,<0.000050,,4.66,0.015,<0.000020,0.0153,0.0024,6.24,,<0.0010,0.258,<0.00010,15.9,0.149,,,,,,,,0.000121,<0.00020,<0.0010,,4.42,
Lower PDC,2010,7-Jun-10,June,L901004-1,13.3,12.6,4.59,6.07,<3.0,22.8,0.59,3.3,3.3,<2.0,<2.0,<0.50,,1.25,0.0101,0.0105,<0.0010,<0.0010,0.0099,0.32,0.122,<0.00010,0.000203,0.00568,<0.00020,,0.0099,<0.000010,0.828,,0.00059,0.00033,0.00206,0.107,<0.000050,,0.613,0.0143,<0.000020,<0.000050,0.0019,0.694,,<0.00020,0.471,<0.00010,0.413,0.00659,,,,,,,,0.000108,<0.00020,0.0027,,6.5,
Lower PDC,2010,7-Jun-10,June,L901004-4,13.3,12.6,4.59,6.18,<3.0,23.9,0.57,3.2,3.2,<2.0,<2.0,<0.50,,1.2,0.0072,0.0106,<0.0010,<0.0010,0.0104,0.309,0.119,<0.00010,0.000198,0.00565,<0.00020,,0.0087,<0.000010,0.824,,0.00045,0.00033,0.00227,0.107,<0.000050,,0.615,0.0144,<0.000020,<0.000050,0.00199,0.689,,<0.00020,0.475,<0.00010,0.401,0.00655,,,,,,,,0.000103,<0.00020,0.0025,,6.67,
Moose-Nero,2010,7-Jun-10,June,L901004-9,84.9,47.6,20.7,7.04,<3.0,4.5,0.7,9.1,9.1,<2.0,<2.0,9.58,,10.9,0.0243,0.18,<0.0010,<0.0010,0.0094,0.4,0.0598,0.0001,0.000208,0.0169,<0.00020,,0.0097,0.000015,4.25,,0.00046,0.00015,0.00153,0.085,<0.000050,,2.46,0.0158,<0.000020,0.00465,0.00237,2.86,,<0.00020,0.288,<0.00010,5.9,0.0639,,,,,,,,0.000094,<0.00020,0.0011,,5.17,
Moose-Nero,2010,7-Jun-10,June,L901004-10,85.4,47.8,20.9,7.1,<3.0,4.3,0.68,9.3,9.3,<2.0,<2.0,9.64,,10.9,0.0277,0.182,<0.0010,<0.0010,0.0087,0.378,0.0581,0.00011,0.00019,0.0169,<0.00020,,0.0114,0.000017,4.27,,0.00044,0.00014,0.00151,0.085,<0.000050,,2.48,0.0158,<0.000020,0.00454,0.0023,2.9,,<0.00020,0.285,<0.00010,5.92,0.0631,,,,,,,,0.000093,<0.00020,0.0012,,5.12,
Nema-Martine,2010,7-Jun-10,June,L901004-11,182,98,41.1,7.25,<3.0,1.4,0.66,13.8,13.8,<2.0,<2.0,25,,25.7,0.0306,0.368,<0.0010,<0.0010,0.0091,0.442,0.0606,0.00023,0.00018,0.0303,<0.00020,,0.0115,0.000031,8.23,,0.00042,0.00028,0.00099,0.084,<0.000050,,5,0.0264,<0.000020,0.00937,0.00257,5.73,,<0.0010,0.271,<0.00010,13.9,0.131,,,,,,,,0.000105,<0.00020,0.001,,4.36,
Nema-Martine,2010,7-Jun-10,June,L901004-12,182,97.6,40,7.3,<3.0,-0.4,0.63,14.5,14.5,<2.0,<2.0,25,,25.8,0.0346,0.367,<0.0010,<0.0010,0.0089,0.423,0.0598,0.00023,0.0002,0.0297,<0.00020,,0.0114,0.000035,7.96,,0.00042,0.00027,0.00105,0.085,<0.000050,,4.9,0.0258,<0.000020,0.00912,0.00254,5.58,,<0.0010,0.276,<0.00010,13.5,0.127,,,,,,,,0.000106,<0.00020,0.0011,,4.44,
Slipper-Lac de Gras,2010,7-Jun-10,June,L901004-13,106,59,26.9,7.17,<3.0,4.3,0.68,11.1,11.1,<2.0,<2.0,12.8,,14.1,0.0425,0.0857,<0.0010,<0.0010,0.0092,0.344,0.08,<0.00010,0.00023,0.0151,<0.00020,,0.0099,0.000011,4.97,,0.00045,0.00023,0.00134,0.1,<0.000050,,3.52,0.0316,<0.000020,0.00235,0.00148,3.52,,<0.00020,0.305,<0.00010,7.23,0.0718,,,,,,,,0.000086,<0.00020,0.0011,,5.65,
Slipper-Lac de Gras,2010,7-Jun-10,June,L901004-14,106,58.3,25.9,7.06,<3.0,2.5,0.65,10.9,10.9,<2.0,<2.0,12.8,,14.1,0.0251,0.0862,<0.0010,<0.0010,0.0105,0.334,0.0765,<0.00010,0.000233,0.0149,<0.00020,,0.0097,0.000015,4.82,,0.00044,0.00023,0.00145,0.099,<0.000050,,3.37,0.0307,<0.000020,0.00236,0.00139,3.42,,<0.00020,0.3,<0.00010,6.99,0.0704,,,,,,,,0.000086,<0.00020,0.001,,5.67,
1616-30 (LLCF),2010,8-Jun-10,June,L901005-3,63.2,33.2,12.1,6.76,<3.0,3.9,1.24,4.1,4.1,<2.0,<2.0,8.54,,7.04,0.0139,0.282,0.0017,0.0051,0.0088,0.094,0.122,<0.00010,0.000093,0.0133,<0.00020,,0.0088,0.000017,2.62,,0.00058,0.00018,<0.00070,0.114,<0.000050,,1.34,0.00888,<0.000020,0.00467,0.00196,2.09,,<0.00020,0.387,<0.00010,4.94,0.0479,,,,,,,,0.000084,0.00027,0.0012,,2.72,
1616-30 (LLCF),2010,8-Jun-10,June,L901005-4,64.2,33.9,13,6.82,<3.0,6.6,1.51,3.9,3.9,<2.0,<2.0,8.61,,7.13,0.0131,0.285,0.0016,<0.0010,0.0073,0.101,0.204,<0.00010,0.000108,0.0148,<0.00020,,0.0081,0.000017,2.77,,0.00093,0.00024,<0.00080,0.226,0.000054,,1.46,0.0103,<0.000020,0.00492,0.00246,2.16,,<0.00020,0.585,<0.00010,4.92,0.0499,,,,,,,,0.000094,0.00051,0.0017,,2.77,
1616-43 (KPSF),2010,8-Jun-10,June,L901005-5,71.1,43.6,25.2,7.34,3.1,8.1,1.85,19.9,19.9,<2.0,<2.0,0.62,,10.6,0.0823,0.0318,0.0011,<0.0010,0.0178,0.397,0.171,<0.00010,0.00108,0.0131,<0.00020,,0.0123,<0.000010,4.09,,0.0006,0.00083,0.00134,0.641,0.000132,,3.65,0.138,<0.000020,0.00167,0.00399,3.48,,<0.00020,0.871,<0.00010,2.38,0.0399,,,,,,,,0.000717,0.00033,0.0012,,5.65,
1616-43 (KPSF),2010,8-Jun-10,June,L901005-6,70.5,42.5,24.1,7.44,<3.0,6.8,1.71,19.6,19.6,<2.0,<2.0,0.6,,10.4,0.0815,0.0343,0.0013,0.0018,0.0179,0.374,0.161,<0.00010,0.00106,0.0125,<0.00020,,0.012,<0.000010,3.87,,0.00047,0.00079,0.00128,0.611,0.000143,,3.51,0.135,<0.000020,0.00155,0.00391,3.39,,<0.00020,0.835,<0.00010,2.29,0.0391,,,,,,,,0.000725,0.00026,0.0014,,5.48,
Vulture-Polar,2010,8-Jun-10,June,L901005-1,11.8,12.8,4.3,6.42,<3.0,21.5,0.46,3.6,3.6,<2.0,<2.0,<0.50,,0.77,0.0152,<0.0050,<0.0010,<0.0010,0.0092,0.3,0.116,<0.00010,0.000207,0.00461,<0.00020,,0.0083,<0.000010,0.719,,0.00048,0.00034,0.00157,0.086,<0.000050,,0.609,0.0127,<0.000020,<0.000050,0.00162,0.606,,<0.00020,0.373,<0.00010,0.386,0.00537,,,,,,,,0.000075,<0.00020,0.0014,,7.27,
Vulture-Polar,2010,8-Jun-10,June,L901005-2,11.9,12.8,4.35,6.46,<3.0,23.7,0.46,3.4,3.4,<2.0,<2.0,<0.50,,0.8,0.0155,<0.0050,<0.0010,0.0011,0.0103,0.3,0.113,<0.00010,0.000213,0.00466,<0.00020,,0.0081,<0.000010,0.741,,0.0004,0.00034,0.00146,0.087,<0.000050,,0.607,0.0127,<0.000020,<0.000050,0.00158,0.608,,<0.00020,0.365,<0.00010,0.381,0.00537,,,,,,,,0.000077,<0.00020,0.0015,,7.36,
Pigeon Stream R1,2010,12-Jun-10,June,,,,5.6,6.95,<3.0,,,,,,,,,,,,,,<0.30,,0.0703,<0.00010,<0.00040,0.00478,<0.00050,,<0.010,<0.000010,0.977,,<0.00050,0.00013,<0.0010,0.108,<0.000050,,0.76,0.00476,<0.000050,<0.000050,0.00145,<2.0,,<0.00050,0.237,<0.000010,<2.0,0.00766,,,,,,,,0.000035,<0.0010,0.0011,,,
Pigeon Stream R1,2010,12-Jun-10,June,,,,6.2,7.48,<3.0,,,,,,,,,,,,,,<0.30,,0.0729,<0.00010,<0.00040,0.0048,<0.00050,,<0.010,<0.000010,1.04,,<0.00050,0.00014,<0.0010,0.101,<0.000050,,0.87,0.00482,<0.000050,<0.000050,0.00146,<2.0,,<0.00050,0.251,<0.000010,<2.0,0.0076,,,,,,,,0.000035,<0.0010,0.0016,,,
PigeonFB,2010,12-Jun-10,June,,,,<1.0,7.36,<3.0,,,,,,,,,,,,,,<0.30,,<0.0010,<0.00010,<0.00040,<0.000050,<0.00050,,<0.010,<0.000010,<0.050,,<0.00050,<0.00010,<0.00010,<0.030,<0.000050,,<0.10,<0.000050,<0.000050,<0.000050,<0.00050,<2.0,,<0.00050,<0.050,<0.000010,<2.0,<0.00010,,,,,,,,<0.000010,<0.0010,<0.0010,,,
PigeonTB,2010,12-Jun-10,June,,,,<1.0,6.42,<3.0,,,,,,,,,,,,,,<0.30,,<0.0010,<0.00010,<0.00040,<0.000050,<0.00050,,<0.010,<0.000010,<0.050,,<0.00050,<0.00010,<0.00010,<0.030,<0.000050,,<0.10,<0.000050,<0.000050,<0.000050,<0.00050,<2.0,,<0.00050,<0.050,<0.000010,<2.0,<0.00010,,,,,,,,<0.000010,<0.0010,<0.0010,,,
Nanuq Outflow,2010,13-Jun-10,June,L898861-1,8.6,4.9,3.8,6.37,<3.0,2.8,0.86,2.7,2.7,<2.0,<2.0,<0.50,,0.95,0.0068,0.0108,<0.0010,<0.0010,0.0038,0.109,0.0414,<0.00010,0.000144,0.0019,<0.00020,,<0.0050,<0.000010,0.691,,<0.00020,<0.00010,0.00045,0.053,<0.000050,,0.391,0.0112,<0.000020,<0.000050,0.0003,0.385,,<0.00020,0.14,<0.00010,0.39,0.00503,,,,,,,,0.000018,<0.00050,<0.0010,,0.91,
Nanuq Outflow,2010,13-Jun-10,June,L898861-2,7.7,4.9,3.1,6.35,<3.0,-4.1,0.93,2.5,2.5,<2.0,<2.0,<0.50,,0.93,0.0067,0.0115,<0.0010,<0.0010,0.0039,0.109,0.0385,<0.00010,0.000147,0.00195,<0.00020,,<0.0050,<0.000010,0.69,,<0.00020,<0.00010,0.00045,0.049,<0.000050,,0.412,0.0113,<0.000020,<0.000050,0.00032,0.399,,<0.00020,0.134,<0.00010,0.416,0.00517,,,,,,,,0.00002,<0.00050,<0.0010,,1.32,
1616 (FB),2010,14-Jun-10,June,L898863-2,<2.0,,<1.0,5.79,<3.0,,<0.10,<2.0,,,,<0.50,,<0.50,0.0062,<0.0050,<0.0010,<0.0010,<0.0020,,<0.0010,<0.00010,<0.00010,<0.000050,<0.00050,,<0.010,<0.000010,<0.050,,<0.00050,<0.00010,<0.00010,<0.030,<0.000050,,<0.10,<0.000050,,<0.000050,<0.00050,<2.0,,<0.00050,<0.050,<0.000010,<2.0,<0.00010,,,,,,,,<0.000010,<0.0010,<0.0010,,<0.50,
1616 (TB),2010,14-Jun-10,June,L898863-3,<2.0,,<1.0,5.67,<3.0,,<0.10,<2.0,,,,<0.50,,<0.50,0.0051,<0.0050,<0.0010,<0.0010,<0.0020,,<0.0010,<0.00010,<0.00010,<0.000050,<0.00050,,<0.010,<0.000010,<0.050,,<0.00050,<0.00010,<0.00010,<0.030,<0.000050,,<0.10,<0.000050,,<0.000050,<0.00050,<2.0,,<0.00050,<0.050,<0.000010,<2.0,<0.00010,,,,,,,,<0.000010,<0.0010,<0.0010,,<0.50,
1616-43 (KPSF),2010,14-Jun-10,June,L898863-1,82.1,,29.4,7.18,<3.0,,1.79,22.4,,,,0.72,,12.8,0.0517,0.0208,<0.0010,0.0011,0.0216,,0.0835,<0.00010,0.00118,0.0126,<0.00050,,0.013,0.000012,4.49,,0.00052,0.00078,0.00107,0.693,0.000119,,4.41,0.111,,0.00235,0.00397,3.6,,<0.00050,0.428,<0.000010,2.7,0.0488,,,,,,,,0.000591,<0.0010,<0.0010,,5.55,
1616-43 (KPSF),2010,14-Jun-10,June,L898863-4,82.4,,29.4,7.35,<3.0,,1.98,22.5,,,,0.69,,12.7,0.0492,0.0184,0.001,0.0011,0.021,,0.0756,<0.00010,0.00116,0.0123,<0.00050,,0.012,0.000011,4.49,,<0.00050,0.00078,0.00106,0.686,0.000063,,4.41,0.109,,0.00235,0.00381,3.6,,<0.00050,0.42,<0.000010,2.7,0.0491,,,,,,,,0.000582,<0.0010,<0.0010,,5.3,
1616 (FB),2010,21-Jun-10,June,L904168-2,<2.0,,<0.50,5.76,<3.0,,<0.10,<2.0,,,,<0.50,,<0.50,0.0081,<0.0050,<0.0010,<0.0010,<0.0020,,<0.0010,<0.00010,<0.00010,<0.000050,<0.00050,,<0.010,<0.000010,<0.050,,<0.00050,<0.00010,<0.00010,<0.030,<0.000050,,<0.10,<0.000050,,<0.000050,<0.00050,<2.0,,<0.00050,<0.050,<0.000010,<2.0,<0.00010,,,,,,,,<0.000010,<0.0010,<0.0010,,<0.50,
1616 (TB),2010,21-Jun-10,June,L904168-3,<2.0,,<0.50,5.85,<3.0,,<0.10,<2.0,,,,<0.50,,<0.50,0.0059,<0.0050,<0.0010,<0.0010,<0.0020,,<0.0010,<0.00010,<0.00010,<0.000050,<0.00050,,<0.010,<0.000010,<0.050,,<0.00050,<0.00010,<0.00010,<0.030,<0.000050,,<0.10,<0.000050,,<0.000050,<0.00050,<2.0,,<0.00050,<0.050,<0.000010,<2.0,<0.00010,,,,,,,,<0.000010,<0.0010,<0.0010,,<0.50,
1616-30 (LLCF),2010,21-Jun-10,June,L904168-1,510,,102,7.62,<3.0,,0.82,25.4,,,,82,,73.9,0.0352,2.64,0.004,<0.0010,0.0071,,0.0584,0.00081,<0.00040,0.0565,<0.00050,,0.02,<0.00020,21.8,,<0.0010,0.0001,<0.0010,0.067,<0.000050,,11.6,0.00683,,0.0473,0.00358,15.7,,<0.00050,0.316,<0.000010,46.4,0.457,,,,,,,,0.000317,<0.0010,<0.0010,,2.56,
1616-30 (LLCF),2010,21-Jun-10,June,L904168-4,500,,100,7.54,<3.0,,0.85,24.8,,,,80.5,,72.6,0.0144,2.6,0.0044,<0.0010,0.0078,,0.0611,0.00082,0.00105,0.0588,<0.00050,,0.024,<0.00020,21.4,,<0.0010,0.00011,<0.0010,0.064,<0.000050,,11.3,0.00723,,0.0497,0.00376,15.4,,<0.00050,0.313,<0.000010,45.5,0.462,,,,,,,,0.000323,<0.0010,<0.0010,,2.67,
Pigeon Stream R1,2010,26-Jun-10,June,,,,,6.79,<3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon Stream R1,2010,26-Jun-10,June,,,,,6.75,<3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PigeonFB,2010,26-Jun-10,June,,,,,5.61,<3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PigeonTB,2010,26-Jun-10,June,,,,,5.63,<3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616-43 (KPSF),2010,28-Jun-10,June,L904571-1,91,,31.8,7.25,<3.0,,1.54,26.2,,,,1.08,,14.5,0.0563,0.005,<0.0010,0.0046,0.0185,,0.0416,<0.00010,0.00128,0.0102,<0.00050,,0.012,0.000022,4.73,,0.00052,0.00022,0.00132,0.495,0.00007,,4.86,0.0154,,0.00338,0.0035,4.3,,<0.00050,0.247,<0.000010,3.4,0.0514,,,,,,,,0.000695,<0.0010,<0.0010,,5.46,
AEMPFB-STR,2010,3-Jul-10,July,L905883-11,<2.0,<1.0,<0.50,5.85,<3.0,0,<0.10,<2.0,<2.0,<2.0,<2.0,<0.50,,<0.50,0.0082,<0.0050,<0.0010,<0.0010,<0.0020,<0.050,<0.0010,<0.00010,<0.000050,<0.000050,<0.00020,,<0.0050,<0.000010,<0.020,,<0.00020,<0.00010,<0.00010,<0.010,<0.000050,,<0.0050,<0.000050,<0.000020,<0.000050,<0.00010,<0.050,,<0.00020,<0.050,<0.00010,<0.010,<0.00010,,,,,,,,<0.000010,<0.00020,<0.0010,,<0.50,
AEMPTB-STR,2010,3-Jul-10,July,L905883-10,<2.0,<1.0,<0.50,6.21,<3.0,0,<0.10,<2.0,<2.0,<2.0,<2.0,<0.50,,<0.50,0.0088,<0.0050,<0.0010,<0.0010,<0.0020,<0.050,<0.0010,<0.00010,<0.000050,<0.000050,<0.00020,,<0.0050,<0.000010,<0.020,,<0.00020,<0.00010,<0.00010,<0.010,<0.000050,,<0.0050,<0.000050,<0.000020,<0.000050,<0.00010,<0.050,,<0.00020,<0.050,<0.00010,<0.010,<0.00010,,,,,,,,<0.000010,<0.00020,<0.0010,,<0.50,
Kodiak-Little,2010,3-Jul-10,July,L905883-2,22.2,16.3,7.52,6.86,<3.0,5.5,0.97,5.8,5.8,<2.0,<2.0,0.7,,2.8,0.0114,<0.0050,<0.0010,<0.0010,0.0072,0.23,0.0562,<0.00010,0.000235,0.00816,<0.00020,,<0.0050,<0.000010,1.35,,<0.00050,<0.00010,0.00145,0.089,<0.000050,,1.01,0.00429,<0.000020,0.000088,0.00234,0.944,,<0.00020,0.313,<0.00010,0.746,0.0118,,,,,,,,0.000085,<0.00020,0.0012,,5.06,
Kodiak-Little,2010,3-Jul-10,July,L905883-3,22.3,15.9,7.56,6.91,3.2,9.3,0.92,5.2,5.2,<2.0,<2.0,0.7,,2.81,0.0102,<0.0050,<0.0010,<0.0010,0.0069,0.22,0.0528,<0.00010,0.000235,0.00816,<0.00020,,<0.0050,<0.000010,1.35,,<0.00050,0.0001,0.00153,0.088,<0.000050,,1.02,0.00452,<0.000020,0.000086,0.00239,0.95,,<0.00020,0.322,<0.00010,0.759,0.0117,,,,,,,,0.000081,<0.00020,0.0012,,5.08,
Leslie-Moose,2010,3-Jul-10,July,L905883-4,548,306,117,7.44,<3.0,-2.2,0.4,31.7,31.7,<2.0,<2.0,88.4,,84.2,0.024,2.06,0.0037,<0.0010,0.0049,0.36,0.0188,0.00097,<0.00090,0.0685,<0.00020,,0.0127,<0.00020,23.6,,<0.00050,<0.00010,0.00081,0.032,<0.000050,,14.1,0.00419,<0.000020,0.0463,0.00212,16.3,,<0.0025,0.15,<0.00010,47.1,0.456,,,,,,,,0.00026,<0.00020,<0.0010,,3.72,
Leslie-Moose,2010,3-Jul-10,July,L905883-5,549,306,120,7.57,<3.0,-0.6,0.39,31.8,31.8,<2.0,<2.0,87.5,,83.3,0.0254,2.04,0.0039,<0.0010,0.0052,0.369,0.0204,0.00098,<0.00090,0.0696,<0.00020,,0.0135,<0.00020,24,,<0.00050,<0.00010,0.00086,0.031,<0.000050,,14.6,0.00431,<0.000020,0.0466,0.00211,17,,<0.0024,0.137,<0.00010,48.1,0.471,,,,,,,,0.000258,<0.00020,<0.0010,,3.81,
Moose-Nero,2010,3-Jul-10,July,L905883-6,134,74.3,31.5,7.43,<3.0,2.8,0.49,11.5,11.5,<2.0,<2.0,17.9,,18.7,0.0185,0.227,<0.0010,<0.0010,0.0069,0.273,0.0315,0.00023,0.000237,0.0208,<0.00020,,0.0052,<0.000010,6.18,,<0.00050,<0.00010,0.00142,0.051,<0.000050,,3.9,0.00436,<0.000020,0.0106,0.00136,4.37,,<0.00020,0.148,<0.00010,10.5,0.106,,,,,,,,0.000106,<0.00020,<0.0010,,4.7,
Moose-Nero,2010,3-Jul-10,July,L905883-7,130,74,31.2,7.46,<3.0,2,0.55,11.6,11.6,<2.0,<2.0,17.9,,18.7,0.0218,0.226,<0.0010,<0.0010,0.0061,0.264,0.0331,0.00022,0.000214,0.0202,<0.00020,,0.0054,<0.000010,6.1,,<0.00050,<0.00010,0.00122,0.044,<0.000050,,3.87,0.00422,<0.000020,0.0106,0.00131,4.34,,<0.00020,0.138,<0.00010,10.3,0.105,,,,,,,,0.000109,<0.00020,<0.0010,,4.71,
Nanuq Outflow,2010,3-Jul-10,July,L905883-1,10.8,7.3,3.39,6.3,<3.0,4.2,0.33,3.1,3.1,<2.0,<2.0,<0.50,,1.37,0.0075,<0.0050,<0.0010,<0.0010,0.0026,0.14,0.0128,<0.00010,0.000131,0.00184,<0.00020,,<0.0050,0.000053,0.659,,<0.00050,<0.00010,0.00041,0.021,<0.000050,,0.423,0.00224,<0.000020,<0.000050,0.00029,0.358,,<0.00020,0.158,<0.00010,0.445,0.00441,,,,,,,,0.00002,<0.00020,<0.0010,,2.09,
Nanuq Outflow,2010,3-Jul-10,July,L905883-12,10.8,7,3.58,6.42,<3.0,18.3,0.36,2.2,2.2,<2.0,<2.0,<0.50,,1.38,0.0187,<0.0050,<0.0010,<0.0010,0.003,0.13,0.0128,<0.00010,0.000121,0.00186,<0.00020,,<0.0050,0.000072,0.697,,<0.00050,<0.00010,0.00044,0.016,<0.000050,,0.447,0.00229,<0.000020,<0.000050,0.00025,0.381,,<0.00020,0.145,<0.00010,0.48,0.00463,,,,,,,,0.000022,<0.00020,<0.0010,,2.18,
Nema-Martine,2010,3-Jul-10,July,L905883-8,197,111,47.9,7.5,<3.0,1.4,0.5,16.5,16.5,<2.0,<2.0,28.3,,30.3,0.014,0.201,0.0011,<0.0010,0.0061,0.228,0.0249,0.00026,0.000214,0.0286,<0.00020,,0.0059,<0.000010,8.99,,<0.00050,<0.00010,0.00102,0.05,<0.000050,,6.17,0.00579,<0.000020,0.0112,0.00147,6.43,,0.0002,0.135,<0.00010,16,0.152,,,,,,,,0.00009,<0.00020,<0.0010,,4.2,
Nema-Martine,2010,3-Jul-10,July,L905883-9,197,111,47.5,7.49,<3.0,0.4,0.58,16.6,16.6,<2.0,<2.0,28.3,,30.4,0.0387,0.199,<0.0010,0.0025,0.0152,0.241,0.0245,0.00027,0.000208,0.0282,<0.00020,,0.0064,<0.000010,8.93,,<0.00050,<0.00010,0.001,0.054,<0.000050,,6.12,0.00603,<0.000020,0.0111,0.00154,6.29,,<0.00020,0.14,<0.00010,15.5,0.154,,,,,,,,0.000084,<0.00020,<0.0010,,4.2,
1616 (FB),2010,4-Jul-10,July,L905864-3,2.2,<10,<0.50,5.7,<3.0,-92.2,<0.10,3.2,3.2,<1.0,<1.0,<0.50,,<0.50,0.0088,<0.0050,<0.0010,<0.0010,<0.0020,0.061,<0.0010,<0.00010,<0.00010,<0.000050,<0.00050,,<0.010,<0.000010,<0.050,,<0.00050,<0.00010,<0.00010,<0.030,<0.000050,,<0.10,<0.000050,<0.000050,<0.000050,<0.00050,<2.0,,<0.00050,<0.050,<0.000010,<2.0,<0.00010,,,,,,,,<0.000010,<0.0010,<0.0010,,<0.50,
