Stream,Year,Date,Month,Lab ID,Conductivity,TDS,Hardness,pH,TSS,IB,Turbidity,Alkalinity,Bicarbonate,Carbonate,Hydroxide,Chloride,Fluoride,Sulphate,AmmoniaN,NitrateN,NitriteN,Orthophosphate ,Phosphorus,TKN,Aluminum,Antimony ,Arsenic,Barium ,Beryllium,Bismuth,Boron ,Cadmium,Calcium,Cesium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Rubidium,Selenium,Silicon,Silver,Sodium,Strontium,Sulfur,Tellurium,Thallium,Thorium,Tin,Titanium,Tungsten,Uranium,Vanadium,Zinc,Zirconium,TOC,Notes
Kodiak-Little,1995,8-Aug-95,August,,23,13,7.77,6.9,2,,1.59,6.5,6.5,<1.0,,1.2,,2.5,0.066,0.04,0.002,0.001,0.011,,0.13,<0.0001,0.0002,<0.01,<0.003,,<0.05,<0.0001,1.55,,<0.001,<0.001,0.002,0.13,0.001,,0.967,<0.005,<0.00005,<0.001,0.002,,,<0.0005,,<0.00001,,,,,,,,,,0.00015,<0.005,0.002,,,
Nema-Martine,1995,10-Aug-95,August,,17.5,12,4.92,6.51,<1,,0.39,5.2,5.2,<1.0,,0.8,,1.8,0.023,<0.005,0.001,0.001,0.006,,0.029,<0.0001,<0.0001,<0.01,<0.003,,<0.05,0.0002,0.983,,<0.001,<0.001,0.002,0.07,0.001,,0.616,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,0.003,,,
Slipper-Lac de Gras,1995,10-Aug-95,August,,15.1,7,4.22,6.61,1,,0.39,4,4,<1.0,,1.2,,<1.0,0.014,<0.005,0.001,0.002,0.005,,0.022,<0.0001,0.0001,<0.01,<0.003,,<0.05,0.0001,0.837,,<0.001,<0.001,0.0005,0.04,<0.001,,0.528,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00004,<0.005,0.002,,,
Vulture-Polar,1995,10-Aug-95,August,,11.4,8,3.8,6.32,3,,0.47,4.1,4.1,<1.0,,0.6,,1.3,0.011,<0.005,0.001,0.001,0.011,,0.032,<0.0001,0.0001,<0.01,<0.003,,<0.05,0.0001,0.665,,<0.001,<0.001,0.0005,0.08,<0.001,,0.527,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,0.003,,,
Nema-Martine,1995,13-Sep-95,September,,18.7,10,5.04,6.53,3,,0.5,4.9,4.9,<1.0,,0.9,,<1.0,0.016,<0.005,0.001,0.003,0.007,,0.25,<0.0001,<0.0001,<0.01,<0.003,,<0.05,<0.0001,1.01,,<0.001,0.001,0.001,0.04,<0.001,,0.686,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00005,<0.005,<0.001,,,
Slipper-Lac de Gras,1995,13-Sep-95,September,,15.6,8,4.27,6.48,6,,0.7,4.3,4.3,<1.0,,0.7,,<1.0,0.011,<0.005,0.001,0.001,0.005,,0.025,<0.0001,<0.0001,<0.01,<0.003,,<0.05,<0.0001,0.798,,0.003,<0.001,0.001,0.04,<0.001,,0.56,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,0.00001,,,,,,,,,,0.00005,<0.005,<0.001,,,
Kodiak-Little,1995,14-Sep-95,September,,25.5,16,8.45,6.51,4,,2.7,6.3,6.3,<1.0,,1.5,,2.6,0.021,0.053,0.003,0.002,0.011,,0.22,<0.0001,0.0002,<0.01,<0.003,,<0.05,0.0001,1.65,,<0.001,<0.001,0.002,0.13,0.002,,1.14,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00012,<0.005,<0.001,,,
Vulture-Polar,1995,14-Sep-95,September,,13.5,7,4.4,6.63,1,,0.5,3.6,3.6,<1.0,,<0.5,,<1.0,0.008,<0.005,0.001,<0.001,0.004,,0.104,<0.0001,<0.0001,<0.01,<0.003,,<0.05,<0.0001,0.739,,<0.001,<0.001,0.002,0.09,<0.001,,0.654,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,0.00001,,,,,,,,,,0.00007,<0.005,<0.001,,,
Moose-Nero,1996,14-Jun-96,June,,16.2,19,5.29,6.73,<1,,1,4.6,,,,<0.5,,1.5,0.011,0.017,0.001,0.002,0.007,,0.055,<0.00005,0.00019,0.00543,<0.0005,,0.001,<0.00005,1.04,,0.0002,<0.0001,0.0011,0.06,0.00006,,0.669,0.00523,,0.00006,0.0009,<2,,<0.001,,<0.00001,<2,0.0107,,,,,,,,0.00007,0.0002,0.001,,,
Moose-Nero,1996,14-Jun-96,June,,16,19,5.3,6.6,<1,,0.8,4.8,,,,<0.5,,1.6,0.011,0.019,0.001,0.001,0.009,,0.055,<0.00005,0.0002,0.00542,<0.0005,,0.001,<0.00005,1.04,,0.0002,<0.0001,0.0011,0.06,<0.00005,,0.678,0.00532,,0.00006,0.0009,<2,,<0.001,,<0.00001,<2,0.0106,,,,,,,,0.00008,0.0002,<0.001,,,
Nema-Martine,1996,14-Jun-96,June,,15.1,20,4.69,6.44,2,,1.2,4,,,,<0.5,,1.6,0.011,0.053,0.001,0.003,0.008,,0.062,<0.00005,0.0002,0.00446,<0.0005,,0.001,<0.00005,0.95,,<0.0001,0.0001,0.0027,0.09,0.00011,,0.58,0.0122,,0.00006,0.0008,<2,,<0.001,,<0.00001,<2,0.009,,,,,,,,0.00007,0.0001,<0.001,,,
Slipper-Lac de Gras,1996,14-Jun-96,June,,14.6,17,4.08,6.54,<1,,1.2,3.6,,,,<0.5,,1.5,0.016,0.016,0.001,0.003,0.008,,0.052,<0.00005,0.0002,0.00343,<0.0005,,0.001,<0.00005,0.79,,0.0002,0.0001,0.001,0.07,<0.00005,,0.526,0.00646,,<0.00005,0.0008,<2,,<0.001,,<0.00001,<2,0.0074,,,,,,,,0.00007,0.0001,<0.001,,,
Kodiak-Little,1996,15-Jun-96,June,,23,22,7.72,6.49,2,,2.1,6.6,,,,0.8,,1.8,0.023,0.058,0.001,0.002,0.007,,0.095,<0.00005,0.00034,0.0109,<0.0005,,0.001,<0.00005,1.57,,0.0002,0.0004,0.0019,0.33,0.00008,,0.95,0.028,,0.0001,0.0017,<2,,<0.001,0.37,<0.00001,<2,0.0174,,,,,,,,0.00009,0.0002,0.003,,,
Vulture-Polar,1996,15-Jun-96,June,,10,17,3.16,6.45,<1,,0.4,2.9,,,,<0.5,,<1.0,0.009,<0.005,0.001,0.002,0.007,,0.054,<0.00005,0.0002,0.00343,<0.0005,,<0.001,<0.00005,0.55,,<0.0001,0.0001,0.0012,0.1,0.0001,,0.441,0.00485,,<0.00005,0.0009,<2,,<0.001,,<0.00001,<2,0.0046,,,,,,,,0.00004,0.0001,0.002,,,
Nema-Martine,1996,26-Jul-96,August,,15.3,<10,4.69,6.68,2,,0.5,4,,,,<0.5,,1,0.015,<0.005,0.001,0.002,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slipper-Lac de Gras,1996,26-Jul-96,August,,14.5,<10,4.41,6.77,1,,0.5,3.7,,,,0.7,,1.3,<0.005,0.005,0.001,0.003,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moose-Nero,1996,27-Jul-96,August,,14.6,<10,5.28,6.71,1,,0.2,4.3,,,,<0.5,,1,0.008,0.01,0.001,0.002,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulture-Polar,1996,27-Jul-96,August,,10.9,<10,3.93,6.69,1,,0.4,3.3,,,,<0.5,,1.3,0.007,0.007,0.001,0.002,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodiak-Little,1996,28-Jul-96,August,,20.1,<10,5.93,6.63,4,,1,5.4,,,,0.5,,1.9,0.013,<0.005,0.001,0.002,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodiak-Little,1996,28-Jul-96,August,,20.2,<10,6.27,6.65,2,,1.1,5.1,,,,<0.5,,1.9,0.012,<0.005,0.001,0.003,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodiak-Little,1997,30-May-97,June,,29,17,8.67,6.08,8,,,6,,,,0.9,,2,5.77,18.3,0.53,0.06,0.21,,0.284,<0.00005,0.0004,0.0124,<0.0005,,0.003,<0.00005,1.7,,0.0008,0.0004,0.0025,0.33,0.00019,,1.08,0.0285,<0.00001,0.00013,0.0022,<2,,<0.001,1.04,<0.00001,<2,0.0159,,,,,,,,0.00018,<0.001,0.005,,,
Nema-Martine,1997,30-May-97,June,,32,12,8.88,6.53,3,,,7,,,,0.9,,2,0.029,0.157,0.005,0.001,0.008,,0.053,<0.00005,0.0003,0.00699,<0.0005,,0.002,<0.00005,1.74,,<0.0005,0.0004,0.0014,0.18,0.00006,,1.1,0.0254,<0.00001,0.00007,0.001,<2,,<0.001,,<0.00001,<2,0.0156,,,,,,,,0.00009,<0.001,0.001,,,
Moose-Nero,1997,31-May-97,June,,27,15,8.21,6.39,3,,,6,,,,0.8,,2,0.049,0.174,0.007,0.004,0.018,,0.188,<0.00005,0.0003,0.00959,<0.0005,,0.002,<0.00005,1.62,,0.0006,0.0003,0.0019,0.25,0.00015,,1.01,0.023,<0.00001,0.00009,0.0017,<2,,<0.001,,<0.00001,<2,0.0149,,,,,,,,0.00014,<0.001,0.003,,,
Lower PDC,1997,2-Jun-97,June,,,,,6.09,484,,,,,,,,,,,,,,,,4.16,,,0.105,,,0.05,0.0001,,,,,0.0178,8.69,0.0037,,,0.14,,0.0004,0.0153,,,,,,,0.0314,,,,,,,,0.0023,,0.019,,,
Lower PDC,1997,2-Jul-97,July,,,,,6.1,83,,,,,,,,,,,,,,,,12,,,0.116,,,0.05,0.0001,,,,,0.0205,9.9,0.003,,,0.136,,0.0008,0.0191,,,,,,,0.0397,,,,,,,,0.0027,,0.041,,,
Vulture-Polar,1997,2-Jul-97,July,,10,12,3.46,5.94,2.7,,,3,,,,<0.5,,1,0.019,<0.001,0.003,0.003,0.003,,0.034,<0.00005,0.0002,0.00306,<0.0005,,<0.001,<0.00005,0.62,,<0.0005,<0.0001,0.0009,0.07,<0.00005,,0.485,0.00252,<0.00001,<0.00005,0.0007,<2,,<0.001,,<0.00001,<2,0.0047,,,,,,,,0.00004,<0.001,<0.001,,,
Kodiak-Little,1997,3-Jul-97,July,,16,16,4.74,6.03,14.2,,,3,,,,0.7,,2,0.022,0.09,0.006,0.002,0.034,,0.033,<0.00005,0.0003,0.00403,<0.0005,,0.003,<0.00005,0.95,,<0.0005,<0.0001,0.0019,0.06,0.00009,,0.577,0.00057,<0.00001,0.00013,0.0011,<2,,<0.001,0.35,<0.00001,<2,0.0081,,,,,,,,0.00017,<0.001,0.003,,,
Moose-Nero,1997,3-Jul-97,July,,21,14,4.73,6.2,4.2,,,4,,,,<0.5,,2,0.019,0.015,0.005,0.001,0.007,,0.091,<0.00005,0.0002,0.0043,<0.0005,,0.002,<0.00005,0.93,,<0.0005,0.0002,0.0012,0.16,0.00011,,0.622,0.00544,<0.00001,0.00006,0.0007,<2,,<0.001,,<0.00001,<2,0.0085,,,,,,,,0.00011,<0.001,0.001,,,
Nema-Martine,1997,4-Jul-97,July,,14,16,3.77,6.12,4.2,,,4,,,,1.1,,2,0.017,0.002,0.004,<0.001,0.006,,0.046,0.00007,0.0002,0.00331,<0.0005,,0.002,<0.00005,0.88,,<0.0005,<0.0001,0.001,0.1,<0.00005,,0.584,0.00734,<0.00001,0.00006,0.0006,<2,,<0.001,,<0.00001,<2,0.0079,,,,,,,,0.00007,<0.001,0.002,,,
