Record Number,Year,Lake,Date,SecchiDepth_m,Bottom?
,2015,LdS1,4-Aug-15,6.8,
,2016,LdS1,4-Aug-16,6,
,2017,LdS1,4-Aug-17,7.2,bottom
,2018,LdS1,6-Aug-18,6.7,
,2019,LdS1,11-Aug-19,6.9,
,2020,LdS1,16-Aug-20,3.85,
,2021,LdS1,5-Aug-21,5.05,
128,2005,LdS2,9-Aug-20,1.6,
142,2006,LdS2,3-Aug-06,1.8,
156,2007,LdS2,5-Aug-07,2,
170,2008,LdS2,31-Jul-08,1.8,bottom
184,2009,LdS2,1-Aug-09,1.8,bottom
198,2010,LdS2,4-Aug-10,2.1,bottom
212,2011,LdS2,4-Aug-11,1.5,
,2012,LdS2,7-Aug-12,1.7,
,2013,LdS2,3-Aug-13,1.5,bottom
,2014,LdS2,8-Aug-14,2.1,bottom
,2015,LdS2,4-Aug-15,2,bottom
,2016,LdS2,4-Aug-16,2,bottom
,2017,LdS2,7-Aug-17,1.8,bottom
,2018,LdS2,6-Aug-18,1.8,bottom
,2019,LdS2,11-Aug-19,1.9,bottom
,2020,LdS2,16-Aug-20,2.3,Bottom
,2021,LdS2,5-Aug-21,2.2,bottom
93,2003,Leslie,3-Aug-03,4.5,
105,2004,Leslie,9-Aug-04,6.5,
120,2005,Leslie,4-Aug-20,8.3,
134,2006,Leslie,6-Aug-06,8.6,
148,2007,Leslie,13-Aug-07,6.5,
176,2009,Leslie,5-Aug-09,4.5,
190,2010,Leslie,3-Aug-10,4,
204,2011,Leslie,2-Aug-11,5.7,
,2012,Leslie,8-Aug-12,6,
,2013,Leslie,1-Aug-13,9.5,
,2014,Leslie,31-Jul-14,5.3,
,2015,Leslie,1-Aug-15,5.5,
,2016,Leslie,6-Aug-16,5.4,
,2017,Leslie,9-Aug-17,7.8,
,2018,Leslie,7-Aug-18,9.1,
,2019,Leslie,8-Aug-19,4.3,
,2020,Leslie,10-Aug-20,5.15,
,2021,Leslie,3-Aug-21,5.25,
,2001,Logan,6-Aug-01,6.75,
,2002,Logan,9-Aug-02,5.5,
,2016,Logan,2-Aug-16,6,
,2018,Logan ,3-Aug-18,4.5,
,2019,Logan ,1-Aug-19,7,
,2020,Logan ,3-Aug-20,4.3,
,2021,Logan ,24-Jul-21,5.3,
,2004,Lower Exeter,11-Aug-04,12,bottom
,2005,Lower Exeter,12-Aug-05,9,
,2016,Lower Exeter,2-Aug-16,11,
,2018,Lower Exeter,30-Jul-18,10.4,
